Name Of Product,Type,Prices,Total Quantity,Unit,Bought Price,Barcode,Description
Crayfish seasoning,Food,15,100,10g,12,001FS-CRA,Spicy crayfish seasoning for soups
Ground Egusi,Food,506,5,1kg,450,002FS-GRO,Traditional Nigerian soup ingredient
Rice Premium,Food,250,50,5kg,200,003FS-RIC,High quality basmati rice
Cooking Oil,Food,180,30,1L,150,004FS-OIL,Vegetable cooking oil
Tomato Paste,Food,45,80,400g,35,005FS-TOM,Concentrated tomato paste
Salt,Food,25,200,1kg,20,006FS-SAL,Table salt for cooking
Sugar,Food,120,60,2kg,100,007FS-SUG,White granulated sugar
Flour,Food,85,40,2kg,70,008FS-FLO,All-purpose wheat flour
Spaghetti,Food,65,25,500g,50,009FS-SPA,Italian pasta
Beans,Food,95,35,1kg,80,010FS-BEA,Dried black beans

